B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
203,556,257,1021,3340,3995,3956,1988,945,0
560,842,692,1342,2608,2957,3217,2281,1308,0
703,825,859,1159,2007,2302,2505,1713,1210,0
473,672,697,898,1229,1414,1246,1477,1047,0
568,791,769,1040,1510,1657,1774,1664,1141,0
126,260,220,476,906,1058,1068,825,477,0
350,667,501,989,1936,2160,2127,1667,977,0
0,372,258,868,2072,2355,2428,1685,1005,0
40,439,302,911,2280,2490,2561,1382,773,0
215,542,692,945,1438,1604,1833,1529,1187,0
6232,5457,5435,5803,5801,5661,5809,5700,4749,1
276,634,572,1292,2379,2572,3093,1911,1128,0
2959,2980,3074,3551,3948,3898,3908,3701,3112,1
145,542,429,980,2465,2891,3375,1796,1083,0
191,425,291,820,2630,3105,3402,1478,753,0
168,393,243,826,2791,3396,3634,1398,725,0
131,368,225,692,2578,3159,3357,1214,630,0
279,452,342,824,2732,3373,3802,1387,704,0
261,516,278,900,2819,3429,3702,1400,694,0
471,811,836,1443,2679,3078,3280,1755,954,0
491,744,1036,1392,2076,2409,2685,1842,1047,0
424,583,833,1079,1675,1827,2040,1838,1125,0
12000,12000,11938,12000,12000,11768,11691,8484,6967,1
896,1090,1184,1418,2069,2274,2434,1980,1424,0
988,1229,1580,1681,1823,1995,2206,2574,1980,0
2106,1982,1911,2250,3081,3312,3630,2910,2001,1
723,962,1246,1324,1617,1649,1854,2167,1675,0
987,1216,1619,1660,1965,2091,2252,2761,2112,0
988,1260,1617,1696,2068,2212,2459,2733,2023,0
951,1172,1547,1633,2088,2259,2502,2670,1920,0
646,862,978,1231,2081,2199,2271,2106,1354,0
774,1013,1069,1419,2359,2636,2685,2406,1535,0
