B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
203,556,257,1021,3340,3995,3956,1988,945,0
560,842,692,1342,2608,2957,3217,2281,1308,0
703,825,859,1159,2007,2302,2505,1713,1210,0
473,672,697,898,1229,1414,1246,1477,1047,0
568,791,769,1040,1510,1657,1774,1664,1141,0
126,260,220,476,906,1058,1068,825,477,0
350,667,501,989,1936,2160,2127,1667,977,0
0,372,258,868,2072,2355,2428,1685,1005,0
40,439,302,911,2280,2490,2561,1382,773,0
215,542,692,945,1438,1604,1833,1529,1187,0
6232,5457,5435,5803,5801,5661,5809,5700,4749,1
276,634,572,1292,2379,2572,3093,1911,1128,0
2959,2980,3074,3551,3948,3898,3908,3701,3112,1
145,542,429,980,2465,2891,3375,1796,1083,0
191,425,291,820,2630,3105,3402,1478,753,0
168,393,243,826,2791,3396,3634,1398,725,0
131,368,225,692,2578,3159,3357,1214,630,0
279,452,342,824,2732,3373,3802,1387,704,0
261,516,278,900,2819,3429,3702,1400,694,0
471,811,836,1443,2679,3078,3280,1755,954,0
491,744,1036,1392,2076,2409,2685,1842,1047,0
424,583,833,1079,1675,1827,2040,1838,1125,0
12000,12000,11938,12000,12000,11768,11691,8484,6967,1
896,1090,1184,1418,2069,2274,2434,1980,1424,0
988,1229,1580,1681,1823,1995,2206,2574,1980,0
2106,1982,1911,2250,3081,3312,3630,2910,2001,1
723,962,1246,1324,1617,1649,1854,2167,1675,0
987,1216,1619,1660,1965,2091,2252,2761,2112,0
988,1260,1617,1696,2068,2212,2459,2733,2023,0
951,1172,1547,1633,2088,2259,2502,2670,1920,0
646,862,978,1231,2081,2199,2271,2106,1354,0
774,1013,1069,1419,2359,2636,2685,2406,1535,0
8787,8186,7993,8263,7976,7606,7415,3928,3312,1
955,1385,1743,2131,2434,2498,2657,4361,3502,0
859,1269,1563,1885,2163,2286,2436,3617,3023,0
953,1455,1885,2301,2600,2682,2823,4984,4290,0
4716,4686,4611,5070,5367,5361,5601,4174,3626,1
1283,1738,2180,2635,3003,3164,3392,4965,3982,0
12000,12000,12000,12000,12000,12000,12000,1093,1253,1
12000,11811,11790,12000,11664,10951,10699,1069,1090,1
12000,12000,12000,12000,12000,12000,12000,2288,2428,1
11010,10239,9898,10217,9934,9346,9034,2927,2857,1
12000,12000,12000,12000,12000,12000,12000,3200,3732,1
12000,12000,12000,12000,12000,12000,12000,1137,1244,1
12000,12000,12000,12000,12000,12000,12000,1155,1205,1
12000,12000,12000,12000,12000,12000,12000,595,676,3
12000,12000,12000,12000,12000,12000,12000,2166,2612,1
12000,12000,12000,12000,12000,12000,12000,1192,1427,1
12000,12000,12000,12000,12000,11852,11325,665,723,3
11986,11598,11664,11881,11416,10747,10319,516,529,3
10058,10617,10760,10898,10077,9120,8394,160,144,3
11550,10873,10778,10895,10526,10169,10108,6683,4827,1
9693,10246,10643,9702,8981,8370,8864,931,746,3
12000,11953,11132,10854,10147,9427,9921,3139,2541,1
11438,9956,9318,9331,8535,8039,7805,2498,2626,1
651,754,888,1246,1665,1843,1930,1786,1422,0
12000,12000,11326,11257,10167,9573,9334,2693,3065,1
4071,3755,3749,4038,4086,4222,4361,3043,2364,1
3697,3522,3393,3578,3915,3954,4055,3213,2619,1
2097,2089,2045,2289,2699,2834,2711,3196,2370,1
7679,6871,6186,6127,5851,5472,5525,3932,2740,1
7873,7049,6760,6858,6463,6204,6192,5014,4015,1
809,883,873,1036,1269,1327,1276,1488,1016,0
11189,10594,10406,10737,10257,9862,9739,7165,5919,1
12000,12000,12000,12000,11789,11381,11079,7969,6234,1
874,1230,1332,1757,2336,2591,2481,3595,2837,0
1365,1737,1899,2290,3043,3312,3468,4188,3245,0
1776,1633,1496,1760,2120,2237,2338,1712,1139,1
11810,10445,9624,10019,9572,9249,9022,5952,4166,1
7285,7180,7249,7356,7202,6970,6826,1137,874,3
12000,12000,12000,12000,12000,11529,11309,7514,5792,1
573,806,919,1234,1538,1588,1824,1959,1565,0
1732,1807,1751,2084,2445,2468,2652,1949,1613,1
502,744,832,1193,1598,1589,1833,1947,1527,0
574,697,886,1253,1610,1730,1947,2244,1676,0
307,447,592,770,918,961,1099,1272,1070,0
5524,5253,5375,6065,5964,5719,5614,5108,4750,1
212,252,369,544,804,841,970,777,675,2
451,534,776,1009,1170,1308,1372,1478,1190,0
7071,6611,7441,7720,7462,6867,6983,787,813,3
5141,5162,5312,5948,5715,4976,5359,581,597,3
3265,2937,3184,4177,4447,3890,3288,536,517,3
3194,3214,3436,4134,4200,3808,3924,723,703,3
1956,2241,2461,3139,3194,3070,2514,860,749,0
4263,4326,4498,5566,5685,5260,4709,1213,1189,1
4356,4105,4246,4501,4758,4668,4965,4646,3715,1
328,512,738,1002,1145,1168,1298,1842,1605,0
374,593,741,968,1261,1340,1315,1586,1263,0
698,852,907,1126,1615,1678,1716,1898,1472,0
2683,2610,2547,3012,3877,3998,4143,3384,3034,1
730,868,881,1186,2060,2279,2369,1966,1419,0
